Date,GroupName,Gender,Age_Group,Search_Count
2021-01-06,밥/죽/덮밥,f,중년층,73.90882
2021-01-06,밥/죽/덮밥,f,장년층,72.23282
2021-01-06,볶음/구이,m,청년층,73.90407
2021-01-06,볶음/구이,m,중년층,55.98033
2021-01-06,볶음/구이,m,장년층,53.78316
2021-01-06,볶음/구이,f,청년층,91.74683
2021-01-06,볶음/구이,f,중년층,70.88225
2021-01-06,볶음/구이,f,장년층,55.63371
2021-01-06,브런치/샐러드,m,청년층,68.81838
2021-01-06,브런치/샐러드,m,중년층,42.38205
2021-01-06,브런치/샐러드,m,장년층,15.98474
2021-01-06,브런치/샐러드,f,청년층,56.28411
2021-01-06,브런치/샐러드,f,중년층,34.38187
2021-01-06,브런치/샐러드,f,장년층,20.71028
2021-01-06,안주/보양식,m,청년층,17.92575
2021-01-06,안주/보양식,m,중년층,12.40979
2021-01-06,안주/보양식,m,장년층,11.65363
2021-01-06,안주/보양식,f,청년층,24.24971
2021-01-06,안주/보양식,f,중년층,20.63208
2021-01-06,안주/보양식,f,장년층,21.46602
2021-01-07,찌개/국/탕,m,청년층,23.82896
2021-01-07,찌개/국/탕,m,중년층,20.45872
2021-01-07,찌개/국/탕,m,장년층,19.7574
2021-01-07,찌개/국/탕,f,청년층,34.19853
2021-01-07,찌개/국/탕,f,중년층,36.45466
2021-01-07,찌개/국/탕,f,장년층,32.85854
2021-01-07,면요리,m,청년층,52.38605
2021-01-07,면요리,m,중년층,37.29019
2021-01-07,면요리,m,장년층,38.58858
2021-01-07,면요리,f,청년층,70.625
2021-01-07,면요리,f,중년층,51.25976
2021-01-07,면요리,f,장년층,49.4778
2021-01-07,밥/죽/덮밥,m,청년층,80.0
2021-01-07,밥/죽/덮밥,m,중년층,59.10037
2021-01-07,밥/죽/덮밥,m,장년층,67.13615
2021-01-07,밥/죽/덮밥,f,청년층,87.88793
2021-01-07,밥/죽/덮밥,f,중년층,78.96863
2021-01-07,밥/죽/덮밥,f,장년층,70.51526
2021-01-07,볶음/구이,m,청년층,76.53429
2021-01-07,볶음/구이,m,중년층,58.77935
2021-01-07,볶음/구이,m,장년층,53.7504
2021-01-07,볶음/구이,f,청년층,89.59493
2021-01-07,볶음/구이,f,중년층,68.79316
2021-01-07,볶음/구이,f,장년층,52.78291
2021-01-07,브런치/샐러드,m,청년층,63.71261
2021-01-07,브런치/샐러드,m,중년층,40.42923
2021-01-07,브런치/샐러드,m,장년층,14.73647
2021-01-07,브런치/샐러드,f,청년층,51.83445
2021-01-07,브런치/샐러드,f,중년층,32.98302
2021-01-07,브런치/샐러드,f,장년층,17.6947
2021-01-07,안주/보양식,m,청년층,17.96646
2021-01-07,안주/보양식,m,중년층,13.49077
2021-01-07,안주/보양식,m,장년층,12.46927
2021-01-07,안주/보양식,f,청년층,24.48398
2021-01-07,안주/보양식,f,중년층,22.2036
2021-01-07,안주/보양식,f,장년층,22.82718
2021-01-08,찌개/국/탕,m,청년층,21.87781
2021-01-08,찌개/국/탕,m,중년층,19.55804
2021-01-08,찌개/국/탕,m,장년층,19.26398
2021-01-08,찌개/국/탕,f,청년층,30.8915
2021-01-08,찌개/국/탕,f,중년층,34.20928
2021-01-08,찌개/국/탕,f,장년층,33.03251
2021-01-08,면요리,m,청년층,49.8302
2021-01-08,면요리,m,중년층,36.49558
2021-01-08,면요리,m,장년층,41.77927
2021-01-08,면요리,f,청년층,67.08776
2021-01-08,면요리,f,중년층,49.30932
2021-01-08,면요리,f,장년층,50.26109
2021-01-08,밥/죽/덮밥,m,청년층,70.2092
2021-01-08,밥/죽/덮밥,m,중년층,53.35276
2021-01-08,밥/죽/덮밥,m,장년층,64.0845
2021-01-08,밥/죽/덮밥,f,청년층,78.31896
2021-01-08,밥/죽/덮밥,f,중년층,69.01066
2021-01-08,밥/죽/덮밥,f,장년층,73.37786
2021-01-08,볶음/구이,m,청년층,75.45126
2021-01-08,볶음/구이,m,중년층,59.80338
2021-01-08,볶음/구이,m,장년층,52.24369
2021-01-08,볶음/구이,f,청년층,86.70886
2021-01-08,볶음/구이,f,중년층,65.58615
2021-01-08,볶음/구이,f,장년층,54.89324
2021-01-08,브런치/샐러드,m,청년층,58.31509
2021-01-08,브런치/샐러드,m,중년층,40.19721
2021-01-08,브런치/샐러드,m,장년층,14.59778
2021-01-08,브런치/샐러드,f,청년층,49.31942
2021-01-08,브런치/샐러드,f,중년층,33.1996
2021-01-08,브런치/샐러드,f,장년층,18.64174
2021-01-08,안주/보양식,m,청년층,17.16867
2021-01-08,안주/보양식,m,중년층,14.95869
2021-01-08,안주/보양식,m,장년층,13.46368
2021-01-08,안주/보양식,f,청년층,26.07319
2021-01-08,안주/보양식,f,중년층,23.3289
2021-01-08,안주/보양식,f,장년층,22.22222
2021-01-09,찌개/국/탕,m,청년층,23.9535
2021-01-09,찌개/국/탕,m,중년층,25.92502
2021-01-09,찌개/국/탕,m,장년층,22.68708
2021-01-09,찌개/국/탕,f,청년층,31.40284
2021-01-09,찌개/국/탕,f,중년층,37.74172
2021-01-09,찌개/국/탕,f,장년층,33.73926
2021-01-09,면요리,m,청년층,55.03127
2021-01-09,면요리,m,중년층,53.35279
2021-01-09,면요리,m,장년층,49.24924
2021-01-09,면요리,f,청년층,68.82978
2021-01-09,면요리,f,중년층,61.91215
2021-01-09,면요리,f,장년층,56.36422
2021-01-09,밥/죽/덮밥,m,청년층,76.15062
2021-01-09,밥/죽/덮밥,m,중년층,93.4194
2021-01-09,밥/죽/덮밥,m,장년층,100.0
2021-01-09,밥/죽/덮밥,f,청년층,80.38793
2021-01-09,밥/죽/덮밥,f,중년층,94.51988
2021-01-09,밥/죽/덮밥,f,장년층,83.96946
2021-01-09,볶음/구이,m,청년층,78.54564
2021-01-09,볶음/구이,m,중년층,81.4036
2021-01-09,볶음/구이,m,장년층,67.50736
2021-01-09,볶음/구이,f,청년층,89.34177
2021-01-09,볶음/구이,f,중년층,69.79454
2021-01-09,볶음/구이,f,장년층,61.65617
2021-01-09,브런치/샐러드,m,청년층,72.6477
2021-01-09,브런치/샐러드,m,중년층,52.97757
2021-01-09,브런치/샐러드,m,장년층,15.98474
2021-01-09,브런치/샐러드,f,청년층,53.6378
2021-01-09,브런치/샐러드,f,중년층,38.22338
2021-01-09,브런치/샐러드,f,장년층,22.50467
2021-01-09,안주/보양식,m,청년층,19.4562
2021-01-09,안주/보양식,m,중년층,18.73598
2021-01-09,안주/보양식,m,장년층,16.581
2021-01-09,안주/보양식,f,청년층,26.43408
2021-01-09,안주/보양식,f,중년층,26.89419
2021-01-09,안주/보양식,f,장년층,27.3543
2021-01-10,찌개/국/탕,m,청년층,27.73126
2021-01-10,찌개/국/탕,m,중년층,30.74759
2021-01-10,찌개/국/탕,m,장년층,25.41118
2021-01-10,찌개/국/탕,f,청년층,34.20409
2021-01-10,찌개/국/탕,f,중년층,41.94456
2021-01-10,찌개/국/탕,f,장년층,37.82755
2021-01-10,면요리,m,청년층,58.49865
2021-01-10,면요리,m,중년층,61.98816
2021-01-10,면요리,m,장년층,59.27177
2021-01-10,면요리,f,청년층,74.53457
2021-01-10,면요리,f,중년층,69.46556
2021-01-10,면요리,f,장년층,65.46997
2021-01-10,밥/죽/덮밥,m,청년층,85.43933
2021-01-10,밥/죽/덮밥,m,중년층,100.0
2021-01-10,밥/죽/덮밥,m,장년층,93.89671
2021-01-10,밥/죽/덮밥,f,청년층,86.2931
2021-01-10,밥/죽/덮밥,f,중년층,100.0
2021-01-10,밥/죽/덮밥,f,장년층,100.0
2021-01-10,볶음/구이,m,청년층,79.68024
2021-01-10,볶음/구이,m,중년층,88.57181
2021-01-10,볶음/구이,m,장년층,75.95807
2021-01-10,볶음/구이,f,청년층,90.88607
2021-01-10,볶음/구이,f,중년층,80.87448
2021-01-10,볶음/구이,f,장년층,65.51894
2021-01-10,브런치/샐러드,m,청년층,75.01823
2021-01-10,브런치/샐러드,m,중년층,54.50502
2021-01-10,브런치/샐러드,m,장년층,19.03606
2021-01-10,브런치/샐러드,f,청년층,60.49195
2021-01-10,브런치/샐러드,f,중년층,41.42228
2021-01-10,브런치/샐러드,f,장년층,22.6542
2021-01-10,안주/보양식,m,청년층,18.94334
2021-01-10,안주/보양식,m,중년층,18.80662
2021-01-10,안주/보양식,m,장년층,16.56983
2021-01-10,안주/보양식,f,청년층,24.07243
2021-01-10,안주/보양식,f,중년층,25.48375
2021-01-10,안주/보양식,f,장년층,26.62835
2021-01-11,찌개/국/탕,m,청년층,21.39348
2021-01-11,찌개/국/탕,m,중년층,19.2524
2021-01-11,찌개/국/탕,m,장년층,18.17434
2021-01-11,찌개/국/탕,f,청년층,32.17541
2021-01-11,찌개/국/탕,f,중년층,35.99269
2021-01-11,찌개/국/탕,f,장년층,30.99923
2021-01-11,면요리,m,청년층,46.88114
2021-01-11,면요리,m,중년층,33.23603
2021-01-11,면요리,m,장년층,40.24024
2021-01-11,면요리,f,청년층,62.95212
2021-01-11,면요리,f,중년층,45.39293
2021-01-11,면요리,f,장년층,42.75456
2021-01-11,밥/죽/덮밥,m,청년층,77.40585
2021-01-11,밥/죽/덮밥,m,중년층,51.0204
2021-01-11,밥/죽/덮밥,m,장년층,58.92018
2021-01-11,밥/죽/덮밥,f,청년층,84.61206
2021-01-11,밥/죽/덮밥,f,중년층,75.29906
2021-01-11,밥/죽/덮밥,f,장년층,68.60687
2021-01-11,볶음/구이,m,청년층,76.94687
2021-01-11,볶음/구이,m,중년층,56.63571
2021-01-11,볶음/구이,m,장년층,48.8372
2021-01-11,볶음/구이,f,청년층,90.35443
2021-01-11,볶음/구이,f,중년층,72.12534
2021-01-11,볶음/구이,f,장년층,53.32592
2021-01-11,브런치/샐러드,m,청년층,71.04303
2021-01-11,브런치/샐러드,m,중년층,47.6218
2021-01-11,브런치/샐러드,m,장년층,16.88626
2021-01-11,브런치/샐러드,f,청년층,59.24825
2021-01-11,브런치/샐러드,f,중년층,36.62216
2021-01-11,브런치/샐러드,f,장년층,20.08722
2021-01-11,안주/보양식,m,청년층,15.43471
2021-01-11,안주/보양식,m,중년층,12.65853
2021-01-11,안주/보양식,m,장년층,12.86033
2021-01-11,안주/보양식,f,청년층,22.50854
2021-01-11,안주/보양식,f,중년층,20.05963
